GEO_ID,Total Population,White Population,Black Population,American Indian Population,Asian Population,Native Hawaiian and Other Pacific Islander Population,Hispanic or Latino Population,Some other race,Year
371190001001,706,539,25,0,85,0,14,43,2013
371190001002,1311,1001,139,0,36,0,128,7,2013
371190001003,708,630,29,0,0,0,49,0,2013
371190001004,313,172,50,0,0,0,53,38,2013
371190001005,831,701,39,0,35,0,0,56,2013
371190003001,445,282,142,0,10,0,5,6,2013
371190004001,1111,831,135,0,92,0,47,6,2013
371190004002,978,600,260,0,0,0,80,38,2013
371190005001,1541,1157,384,0,0,0,0,0,2013
371190005002,1060,640,318,0,37,0,65,0,2013
371190005003,1998,1191,750,0,8,0,40,9,2013
371190006001,921,514,354,0,26,0,27,0,2013
371190006002,1665,886,669,0,7,0,94,9,2013
371190007001,770,195,368,0,181,0,24,2,2013
371190008001,1677,84,1427,0,0,0,133,33,2013
371190008002,546,104,442,0,0,0,0,0,2013
371190009001,799,155,615,0,10,0,13,6,2013
371190009002,676,147,524,0,0,0,5,0,2013
371190010001,1092,897,148,0,25,0,22,0,2013
371190010002,519,338,58,0,24,0,76,23,2013
371190010003,831,778,7,0,0,0,25,21,2013
371190011001,477,424,53,0,0,0,0,0,2013
371190011002,1361,1205,63,6,11,0,24,52,2013
371190012001,2732,754,480,0,26,0,1422,50,2013
371190012002,1658,638,303,0,321,0,369,27,2013
371190012003,1648,1598,25,0,0,0,0,25,2013
371190013001,2172,654,1397,0,21,0,88,12,2013
371190013002,1164,218,714,53,114,0,65,0,2013
371190013003,484,426,48,0,0,0,0,10,2013
371190014001,1495,697,628,0,37,0,133,0,2013
371190014002,1244,923,214,0,36,0,71,0,2013
371190015041,3453,476,2169,0,20,0,679,109,2013
371190015042,1562,214,1192,0,17,0,139,0,2013
371190015043,1813,171,863,0,67,0,693,19,2013
371190015051,3378,1190,1145,9,80,0,790,164,2013
371190015071,1756,0,512,0,0,0,1244,0,2013
371190015072,1225,134,620,0,0,0,445,26,2013
371190015073,1027,83,736,0,79,0,98,31,2013
371190015081,3392,924,1003,0,64,221,1064,116,2013
371190015082,2247,739,1393,0,12,0,69,34,2013
371190015083,604,0,260,0,0,0,344,0,2013
371190015091,1511,31,1050,0,0,0,134,296,2013
371190015092,1931,176,1154,0,0,0,601,0,2013
371190015101,1961,324,1394,0,0,0,243,0,2013
371190015102,798,69,546,0,175,0,0,8,2013
371190016031,2611,907,982,0,61,0,648,13,2013
371190016032,1828,770,467,0,30,0,475,86,2013
371190016051,2346,767,559,0,122,0,850,48,2013
371190016061,3103,754,419,0,302,0,1628,0,2013
371190016062,1061,463,513,0,10,0,54,21,2013
371190016071,3746,773,1467,0,63,10,1381,52,2013
371190016081,2264,283,1108,0,31,0,828,14,2013
371190016082,1342,295,657,65,96,0,127,102,2013
371190016091,783,153,535,0,0,0,95,0,2013
371190016092,2164,469,780,0,89,0,826,0,2013
371190017011,1282,818,231,0,70,0,138,25,2013
371190017012,2112,282,927,66,331,0,427,79,2013
371190017021,1403,348,549,0,55,0,451,0,2013
371190017022,416,389,27,0,0,0,0,0,2013
371190017023,1045,655,302,0,0,0,69,19,2013
371190017024,2889,237,820,0,378,0,1419,35,2013
371190018011,285,149,108,4,0,0,0,24,2013
371190018012,425,283,114,0,11,0,17,0,2013
371190018013,593,248,345,0,0,0,0,0,2013
371190018021,1426,616,333,0,342,0,130,5,2013
371190018022,1246,757,370,0,58,0,61,0,2013
371190019101,2635,106,864,54,0,0,1611,0,2013
371190019102,1207,237,698,0,76,0,123,73,2013
371190019103,1520,382,445,0,75,0,609,9,2013
371190019111,964,352,363,25,137,0,63,24,2013
371190019112,1495,591,388,21,14,0,467,14,2013
371190019113,3125,1015,1670,4,23,0,413,0,2013
371190019121,2087,222,634,0,0,0,1231,0,2013
371190019122,1005,29,512,0,60,0,311,93,2013
371190019123,1289,128,946,0,0,0,183,32,2013
371190019124,1619,80,748,0,161,0,586,44,2013
371190019141,2024,225,880,0,83,0,830,6,2013
371190019142,1529,789,392,0,47,0,293,8,2013
371190019151,1145,461,456,0,0,0,188,40,2013
371190019152,2254,926,1188,0,6,0,75,59,2013
371190019153,900,177,537,0,58,0,103,25,2013
371190019154,2232,181,756,0,25,0,1193,77,2013
371190019161,1349,683,479,0,0,0,153,34,2013
371190019162,2027,702,974,0,22,0,298,31,2013
371190019171,2261,740,214,36,5,0,1252,14,2013
371190019172,1771,1033,556,11,0,0,72,99,2013
371190019181,322,143,166,0,0,0,0,13,2013
371190019182,1638,478,897,0,19,0,244,0,2013
371190019183,1694,151,1191,37,0,35,237,43,2013
371190019191,1575,396,549,0,234,0,396,0,2013
371190019192,1712,736,616,0,329,0,31,0,2013
371190019193,1016,248,647,0,0,0,110,11,2013
371190019201,2536,240,1597,0,0,0,699,0,2013
371190019202,1012,332,275,26,133,0,234,12,2013
371190019203,648,147,218,0,0,88,183,12,2013
371190019211,2320,676,966,0,21,0,617,40,2013
371190019221,1733,320,775,0,180,0,387,71,2013
371190019222,3022,455,1245,0,104,0,1007,211,2013
371190019231,2187,621,813,4,0,0,686,63,2013
371190019232,1692,299,1298,0,0,0,95,0,2013
