"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Not Hispanic or Latino","Margin of Error!!Total!!Not Hispanic or Latino","Estimate!!Total!!Not Hispanic or Latino!!White alone","Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Not Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Estimate!!Total!!Not Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Estimate!!Total!!Hispanic or Latino","Margin of Error!!Total!!Hispanic or Latino","Estimate!!Total!!Hispanic or Latino!!White alone","Margin of Error!!Total!!Hispanic or Latino!!White alone","Estimate!!Total!!Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Hispanic or Latino!!Asian alone","Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Hispanic or Latino!!Some other race alone","Estimate!!Total!!Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races",
"1500000US371190019124","Block Group 4, Census Tract 19.12, Mecklenburg County, North Carolina","2852","847","1734","833","186","170","1456","825","0","12","40","54","0","12","0","12","52","85","52","85","0","12","1118","416","620","464","42","69","0","12","0","12","0","12","426","338","30","47","30","47","0","12",
"1500000US371190019141","Block Group 1, Census Tract 19.14, Mecklenburg County, North Carolina","1975","457","1100","329","181","93","561","211","0","12","229","269","0","12","0","12","129","183","0","12","129","183","875","362","71","115","0","12","0","12","6","14","0","12","798","362","0","12","0","12","0","12",
"1500000US371190019142","Block Group 2, Census Tract 19.14, Mecklenburg County, North Carolina","1668","439","1452","312","1028","238","400","223","0","12","16","28","0","12","0","12","8","12","0","12","8","12","216","277","16","26","0","12","0","12","0","12","0","12","200","278","0","12","0","12","0","12",
"1500000US371190019151","Block Group 1, Census Tract 19.15, Mecklenburg County, North Carolina","1439","467","1211","437","360","185","815","442","0","12","36","56","0","12","0","12","0","12","0","12","0","12","228","218","84","114","0","12","0","12","0","12","0","12","112","178","32","49","19","29","13","20",
"1500000US371190019152","Block Group 2, Census Tract 19.15, Mecklenburg County, North Carolina","2894","613","2627","570","749","290","1717","579","0","12","26","31","0","12","0","12","135","186","0","12","135","186","267","322","243","319","0","12","24","39","0","12","0","12","0","12","0","12","0","12","0","12",
"1500000US371190019153","Block Group 3, Census Tract 19.15, Mecklenburg County, North Carolina","1213","410","647","295","93","81","357","195","0","12","197","227","0","12","0","12","0","12","0","12","0","12","566","383","243","209","0","12","0","12","0","12","0","12","323","306","0","12","0","12","0","12",
"1500000US371190019154","Block Group 4, Census Tract 19.15, Mecklenburg County, North Carolina","1357","417","824","326","299","160","480","287","0","12","0","12","0","12","0","12","45","76","0","12","45","76","533","358","499","366","0","12","0","12","0","12","0","12","0","12","34","55","0","12","34","55",
"1500000US371190019161","Block Group 1, Census Tract 19.16, Mecklenburg County, North Carolina","2144","381","1287","291","496","136","745","295","0","12","39","73","0","12","0","12","7","13","0","12","7","13","857","292","179","211","0","12","0","12","0","12","0","12","678","408","0","12","0","12","0","12",
"1500000US371190019162","Block Group 2, Census Tract 19.16, Mecklenburg County, North Carolina","1782","347","1626","355","665","158","889","306","0","12","38","56","0","12","0","12","34","54","0","12","34","54","156","102","96","87","38","44","0","12","0","12","0","12","22","37","0","12","0","12","0","12",
"1500000US371190019171","Block Group 1, Census Tract 19.17, Mecklenburg County, North Carolina","2335","473","1665","337","800","207","811","305","0","12","13","20","0","12","0","12","41","65","0","12","41","65","670","329","327","247","0","12","9","15","0","12","0","12","334","312","0","12","0","12","0","12",
"1500000US371190019172","Block Group 2, Census Tract 19.17, Mecklenburg County, North Carolina","1880","440","1302","301","706","195","482","237","0","12","0","12","0","12","0","12","114","94","0","12","114","94","578","373","20","25","14","23","0","12","0","12","0","12","537","368","7","11","0","12","7","11",
"1500000US371190019181","Block Group 1, Census Tract 19.18, Mecklenburg County, North Carolina","555","150","506","143","360","134","146","86","0","12","0","12","0","12","0","12","0","12","0","12","0","12","49","77","0","12","0","12","0","12","0","12","0","12","49","77","0","12","0","12","0","12",
"1500000US371190019182","Block Group 2, Census Tract 19.18, Mecklenburg County, North Carolina","2293","378","1767","347","568","164","1100","320","74","100","0","12","0","12","0","12","25","38","0","12","25","38","526","289","315","259","40","53","0","12","0","12","0","12","162","143","9","13","0","12","9","13",
