GEO_ID,Total Population,White Population,Black Population,American Indian Population,Asian Population,Native Hawaiian and Other Pacific Islander Population,Hispanic or Latino Population,Some other race,Year
371190019262,1904,427,1080,0,14,0,298,85,2020
371190019271,1198,194,678,0,0,0,326,0,2020
371190019272,1899,198,911,0,0,0,682,108,2020
371190020041,1167,1100,41,0,0,0,26,0,2020
371190020042,1933,1448,3,0,32,0,429,21,2020
371190020043,2195,397,1487,0,10,0,76,225,2020
371190020051,1011,853,29,0,0,0,125,4,2020
371190020052,1725,1082,97,0,341,0,194,11,2020
371190020061,2368,2177,65,0,42,20,64,0,2020
371190020062,1522,1471,48,0,0,0,3,0,2020
371190020071,1197,714,76,0,127,0,280,0,2020
371190020072,1300,299,630,44,107,0,119,101,2020
371190020081,1137,1078,0,0,0,0,59,0,2020
371190020082,1578,842,571,0,165,0,0,0,2020
371190020083,465,445,0,0,20,0,0,0,2020
371190021001,945,538,268,0,0,0,18,121,2020
371190021002,2051,1312,336,0,260,0,84,59,2020
371190022011,1390,966,126,0,112,0,141,45,2020
371190022012,1181,1005,4,0,0,0,172,0,2020
371190022021,957,812,39,0,14,0,58,34,2020
371190022022,2031,1924,69,0,0,0,17,21,2020
371190023001,494,45,365,0,0,0,76,8,2020
371190023002,2916,47,2663,0,18,0,114,74,2020
371190024001,1901,1513,134,33,23,0,139,59,2020
371190024002,932,760,58,0,8,0,25,81,2020
371190024003,494,476,18,0,0,0,0,0,2020
371190025001,1348,1107,24,0,14,0,140,63,2020
371190025002,714,614,63,0,4,0,13,20,2020
371190026001,1166,656,364,13,65,0,27,41,2020
371190027011,1100,1077,0,0,23,0,0,0,2020
371190027012,1180,1034,62,0,17,0,60,7,2020
371190027013,698,698,0,0,0,0,0,0,2020
371190027021,2604,2379,126,2,10,0,59,28,2020
371190027022,2407,2197,0,0,118,0,61,31,2020
371190027023,849,781,0,0,0,0,68,0,2020
371190028001,859,847,0,0,0,0,12,0,2020
371190028002,1143,1097,46,0,0,0,0,0,2020
371190028003,1948,1846,0,3,19,0,33,47,2020
371190029031,1128,986,0,0,47,0,95,0,2020
371190029032,969,941,0,0,9,0,0,19,2020
371190029033,1707,1273,222,0,90,0,34,88,2020
371190029051,1938,1844,5,7,51,0,0,31,2020
371190029052,1257,1136,32,0,31,0,58,0,2020
371190029071,1656,924,53,0,667,0,0,12,2020
371190029072,1899,1707,15,0,122,0,41,14,2020
371190029081,1372,1229,0,0,14,0,116,13,2020
371190029082,593,506,49,0,13,0,0,25,2020
371190029083,1365,1299,49,0,0,0,17,0,2020
371190029091,1820,1687,0,0,97,0,0,36,2020
371190029101,806,740,0,0,51,0,15,0,2020
371190029102,1162,715,129,51,44,0,17,206,2020
371190029103,1196,1176,0,0,0,0,20,0,2020
371190030061,1930,1636,255,0,39,0,0,0,2020
371190030062,2698,2158,92,0,253,0,149,46,2020
371190030081,3058,2920,21,0,48,0,60,9,2020
371190030082,1372,633,218,0,166,0,355,0,2020
371190030083,1976,1456,47,0,63,0,246,164,2020
371190030121,1848,1753,19,0,0,0,69,7,2020
371190030122,2591,1573,536,0,179,0,226,77,2020
371190030131,2261,2089,21,0,91,0,60,0,2020
371190030132,2265,2161,0,0,104,0,0,0,2020
