"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Not Hispanic or Latino:","Margin of Error!!Total:!!Not Hispanic or Latino:","Estimate!!Total:!!Not Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!White alone","Estimate!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Not Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Not Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Estimate!!Total:!!Hispanic or Latino:","Margin of Error!!Total:!!Hispanic or Latino:","Estimate!!Total:!!Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Hispanic or Latino:!!White alone","Estimate!!Total:!!Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"1500000US371190005012","Block Group 2; Census Tract 5.01; Mecklenburg County; North Carolina","1431","254","1287","221","843","213","329","144","8","4","26","29","0","14","0","14","81","52","6","10","75","51","144","168","1","5","5","13","0","14","9","20","0","14","6","11","123","170","123","170","0","14",
"1500000US371190005021","Block Group 1; Census Tract 5.02; Mecklenburg County; North Carolina","1474","624","1222","607","981","567","89","84","0","14","152","118","0","14","0","14","0","14","0","14","0","14","252","211","0","14","33","49","16","26","0","14","0","14","203","205","0","14","0","14","0","14",
"1500000US371190005031","Block Group 1; Census Tract 5.03; Mecklenburg County; North Carolina","1390","353","1239","317","744","255","435","171","0","14","9","15","0","14","0","14","51","82","51","82","0","14","151","159","0","14","0","14","0","14","0","14","0","14","20","34","131","154","131","154","0","14",
"1500000US371190005032","Block Group 2; Census Tract 5.03; Mecklenburg County; North Carolina","110","82","110","82","79","69","21","26","0","14","0","14","0","14","10","16","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1500000US371190006001","Block Group 1; Census Tract 6; Mecklenburg County; North Carolina","1618","329","1551","329","462","139","904","327","0","14","140","129","0","14","0","14","45","53","0","14","45","53","67","82","0","14","0","14","0","14","0","14","0","14","67","82","0","14","0","14","0","14",
"1500000US371190006002","Block Group 2; Census Tract 6; Mecklenburg County; North Carolina","1705","186","1619","187","594","183","905","156","0","14","65","54","0","14","28","33","27","25","9","17","18","24","86","36","8","17","10","15","0","14","0","14","0","14","54","33","14","26","14","26","0","14",
"1500000US371190006003","Block Group 3; Census Tract 6; Mecklenburg County; North Carolina","701","322","675","319","357","251","187","143","0","14","61","66","0","14","17","27","53","51","0","14","53","51","26","30","18","27","0","14","0","14","0","14","0","14","8","14","0","14","0","14","0","14",
"1500000US371190007001","Block Group 1; Census Tract 7; Mecklenburg County; North Carolina","597","159","581","156","399","130","96","74","0","14","63","47","0","14","0","14","23","25","0","14","23","25","16","15","4","6","0","14","0","14","0","14","0","14","3","4","9","12","4","6","5","10",
"1500000US371190007002","Block Group 2; Census Tract 7; Mecklenburg County; North Carolina","1110","201","989","158","530","155","427","96","12","20","20","25","0","14","0","14","0","14","0","14","0","14","121","80","5","9","4","7","0","14","0","14","0","14","19","20","93","78","79","75","14","23",
"1500000US371190008001","Block Group 1; Census Tract 8; Mecklenburg County; North Carolina","1728","448","1695","447","712","221","857","401","0","14","52","70","0","14","34","37","40","53","8","13","32","51","33","26","0","14","7","11","0","14","0","14","0","14","16","18","10","17","10","17","0","14",
"1500000US371190008002","Block Group 2; Census Tract 8; Mecklenburg County; North Carolina","1345","215","1296","220","193","109","1080","226","0","14","13","19","0","14","0","14","10","16","0","14","10","16","49","40","28","37","0","14","0","14","0","14","0","14","11","19","10","17","0","14","10","17",
"1500000US371190009001","Block Group 1; Census Tract 9; Mecklenburg County; North Carolina","576","137","562","135","329","86","184","105","0","14","40","43","0","14","0","14","9","13","0","14","9","13","14","16","11","16","0","14","0","14","0","14","0","14","0","14","3","6","0","14","3","6",
"1500000US371190009002","Block Group 2; Census Tract 9; Mecklenburg County; North Carolina","1166","279","991","230","657","222","309","132","0","14","0","14","0","14","0","14","25","30","0","14","25","30","175","129","12","13","46","70","0","14","0","14","0","14","65","61","52","45","52","45","0","14",
